FID,id,rbd,letra,numero,direcc_cal,direcc_num,of_piso,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,layer,nombre,direccion,tipo
16,56,24462 7, ,56,MATEO TORO Y ZAMBRANO,715,1,TALAGANTE,8152453,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24462 7,TALAGANTE,PREBASICA,321846.06433,6274003.70077,PROVINCIAL TALAGANTE,PREBASICA,LAS BRUJITAS,715 MATEO TORO Y ZAMBRANO,JARDIN INFANTIL
17, , , , , ,0, ,PAINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CANDES,444 CALLE BUIN,SALA CUNA
18, , , , , ,0, ,PAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,6041 COOPERACION,SALA CUNA
19, , , , , ,0, ,PUENTE ALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,SAN FRANCISCO EL TRONCAL,2175 BORDE SUR,SALA CUNA
20, , , , , ,0, ,PUENTE ALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,ANDES DEL SUR,1265 MARTIN PESCADOR,SALA CUNA
21, , , , , ,0, ,PUENTE ALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,JUANITA,1550 GLINCA,SALA CUNA
22, , , , , ,0, ,PUENTE ALTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,NOCEDAL III,1021 VALLE CENTRAL,SALA CUNA
23, , , , , ,0, ,QUILICURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,AMANECER,570 LO CRUZAT,SALA CUNA
24, , , , , ,0, ,RECOLETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,JUANITA SOLAR  COLEGIO JUAN FERNANDEZ,583 JUSTICIA SOCIAL,SALA CUNA
25, , , , , ,0, ,RENCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,KAIROS,4835 JOSE MIGUEL INFANTE,SALA CUNA
