FID,objectid_1,objectid,oid_,name,folderpath,popupinfo,longitud,Shape__Length
17,17,17,0,* Centenario (a),Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Club Hípico a Bascuñán Guerrero,0.62,741.21547831697
18,18,18,0,* Central Cardenal Silva Henríquez,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Buenaventura a Américo Vespucio,1.97,2373.25674823342
19,19,19,0,* Chile España,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Simón Bolívar a Miguel de Cervantes,0.46,548.150133146215
20,20,20,0,* Clotario Blest,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Carlos Valdovinos a Lo Ovalle,3.3,3975.01593770647
21,21,21,0,* Club Hípico,Ciclovías Santiago 2015 - 2016,Vereda / Norte a Sur / Grajales a Pedro Montt,2.43,2918.50207651653
22,22,22,0,* Cuatro Oriente / Caletera Acceso Sur (a),Ciclovías Santiago 2015 - 2016/* Cuatro Oriente,Vereda y Calle / Ambos sentidos / Sargento Menadier a Primavera,2.98,3585.86817577864
23,23,23,0,* Curicó / Tarapacá / Padre Felipe Gómez de Vidaurre,Ciclovías Santiago 2015 - 2016/* Curicó / Tarapacá,Calle / Oriente a Poniente / Vicuña Mackenna a San Ignacio,2.26,2701.73200980118
24,24,24,0,* Departamental (a),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Vicuña Mackenna a Nueva Berlioz,2.01,2408.0698407528
25,25,25,0,* Departamental (b),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Tobalaba a Entrada Florida Center,4.62,5533.4900944622
26,26,26,0,* Diagonal José María Caro,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / El Guanaco a Quebrada del Obispo,0.35,418.43290415468
27,27,27,0,* Doctor Johow,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Grecia a José Ignacio Vergara,0.76,918.085343359856
28,28,28,0,* Dorsal / Roma,Ciclovías Santiago 2015 - 2016/* Dorsal,Vereda y Bandejón / Ambos sentidos / Diagonal José María Caro a Bajos de Jiménez,2.7,3234.86463116061
29,29,29,0,* Dublé Almeyda,Ciclovías Santiago 2015 - 2016,Vereda / Poniente a Oriente / Los Corteses a Exequiel Figueroa,0.19,222.547392370663
30,30,30,0,* Einstein / Las Torres,Ciclovías Santiago 2015 - 2016/* Einstein,Vereda / Ambos sentidos / Antonia Prado a Los Zapadores,1.28,1532.15208102793
31,31,31,0,* El Guanaco,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Los Zapadores a Calle G,1.1,1317.51075957794
32,32,32,0,* El Salto,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Rinconada El Salto a Outlet Lama,0.13,153.460093157344
33,33,33,0,* El Valle,Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / Florencia a Caracas,1.08,1293.62924148409
34,34,34,0,* Emilia Téllez,Ciclovías Santiago 2015 - 2016,Calle y Vereda / Ambos sentidos / Girón de las Palmas a Montenegro,1.04,1245.61621649837
35,35,35,0,* Enrique Olivares,Ciclovías Santiago 2015 - 2016,Calle / Oriente a Poniente - Poniente a Oriente / Vicuña Mackenna a Honduras,1.67,2005.90096270744
36,36,36,0,* Esquina Blanca,Ciclovías Santiago 2015 - 2016,Vereda / Oriente a Poniente - Poniente a Oriente / Rubén Darío a Concepción del Oro,0.71,848.771415160017
37,37,37,0,* Exposición,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Maquinista Escobar a Salvador Sanfuentes,1,1200.91865815533
38,38,38,0,* Francisco Bilbao / Plaza Inés de Suárez,Ciclovías Santiago 2015 - 2016/* Francisco Bilbao,Bandejón / Ambos sentidos / Antonio Varas a Pocuro,0.41,497.476484260952
39,39,39,0,* Gabriela Mistral / Gil De Castro,Ciclovías Santiago 2015 - 2016/* Gabriela Mistral,Vereda / Ambos sentidos / Lo Espejo a Central Cardenal Silva Henríquez,1.01,1214.72945291441
40,40,40,0,* General Bulnes,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Presidente Balmaceda a Alameda,2.2,2651.28124793865
41,41,41,0,* Gral. Bustamante / Plaza San Esteban,Ciclovías Santiago 2015 - 2016/* Gral. Bustamante,"Parque, Vereda y Bandejón / Ambos sentidos / Providencia a Matta Oriente",2.19,2635.87435784797
42,42,42,0,* Grecia,Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / Capitán Ignacio Carrera Pinto a Diagonal Las Torres,6.78,8127.22715630191
43,43,43,0,* Isabel La Católica / Pocuro,Ciclovías Santiago 2015 - 2016/* Isabel La Católica,"Calle, Vereda y Bandejón / Ambos sentidos / Vespucio a Antonio Varas",3.77,4517.5213614482
44,44,44,0,* Jaime Guzmán / Diagonal Oriente,Ciclovías Santiago 2015 - 2016/* Jaime Guzmán,Vereda / Ambos sentidos / Holanda a Simón Bolívar,0.65,776.947136671177
45,45,45,0,*Jorge Ross Ossa,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Le Mans a Emiliana Subercaseaux De Concha,1.12,1344.06947536681
46,46,46,0,* Larraín,Ciclovías Santiago 2015 - 2016,Vereda y Bandejón / Ambos sentidos / Ossa a Las Perdices,3.98,4763.60403066648
47,47,47,0,* La Paz,Ciclovías Santiago 2015 - 2016,Calle / Sur a Norte / Santa María a Santos Dumont,1.16,1392.15918456074
48,48,48,0,* Las Industrias (a),Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Pureo a Ingeniero Budge,1.89,2275.03990573621
49,49,49,0,* Las Industrias (b),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Yungay a Lo Ovalle,0.86,1032.61351516045
50,50,50,0,* Los Cerezos,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Cabo II Julio Pavez Ortiz a Los Instaladores,0.64,774.371380150131
51,51,51,0,* Los Presidentes,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Américo Vespucio a Santa María,0.39,470.134448055003
52,52,52,0,* Manquehue Sur / Parque por Manquehue Sur,Ciclovías Santiago 2015 - 2016/* Manquehue Sur,Calle y Parque / Ambos sentidos / Maria Teresa a Isabel La Católica,1.58,1899.56601090955
53,53,53,0,* Manuel Antonio Matta,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Vicuña Mackenna a San Diego,1.84,2202.18978909707
54,54,54,0,* Mapocho,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Cautín a Brasil,0.48,575.232337516834
55,55,55,0,* Marín (a),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Gral. Bustamante a Salvador,0.71,846.456774563916
56,56,56,0,* Martínez de Rozas,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Antonio Ebner a Matucana,1.52,1823.02191012921
57,57,57,0,* Matta Oriente / Dublé Almeyda,Ciclovías Santiago 2015 - 2016/* Matta Oriente,Calle y Vereda / Poniente a Oriente / San Eugenio a Ramón Cruz,4.46,5344.95023906497
58,58,58,0,* Montenegro / Juan Moya,Ciclovías Santiago 2015 - 2016/* Montenegro,Vereda / Ambos sentidos / Tobalaba a Grecia,3.47,4177.34179602233
59,59,59,0,* Nevería,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Américo Vespucio a La Capitanía,1.2,1441.10793058266
60,60,60,0,* Nueva Tobalaba / Nueva Providencia,Ciclovías Santiago 2015 - 2016/* Nueva Tobalaba,Vereda / Ambos sentidos / Andrés Bello a Luis Thayer Ojeda,0.3,358.62372599274
61,61,61,0,* Padre Hurtado,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Francisco Bilbao a Carlos Silva Vildósola,1.24,1490.42163262947
62,62,62,0,* Pajaritos,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Coronel Santiago Bueras a Maipú,1.18,1415.33309575288
63,63,63,0,* Peatonal Ahumada / Puente,Ciclovías Santiago 2015 - 2016/* Peatonal Ahumada,Alameda a San Pablo,1.05,1261.74433092081
64,64,64,0,* Peatonal Bulnes / Parque Almagro,Ciclovías Santiago 2015 - 2016/* Peatonal Bulnes,Alameda a Santa Isabel,0.82,985.679835129789
65,65,65,0,* Peatonal Estado / 21 de Mayo,Ciclovías Santiago 2015 - 2016/* Peatonal Estado,Alameda a Rosas,0.95,1137.38235483041
66,66,66,0,* Peatonal Huérfanos,Ciclovías Santiago 2015 - 2016,Amunátegui a Santa Lucía,1.18,1410.82226109364
67,67,67,0,* Pedro Aguirre Cerda,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Arturo Vicari a Enrique Escobar,0.74,894.137788981189
68,68,68,0,* Pedro de Valdivia,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Dr. Pedro Lautaro Ferrer a Capitán Orella,0.84,1011.90023786236
69,69,69,0,* Pío Nono,Ciclovías Santiago 2015 - 2016,Vereda y Calle / Ambos sentidos / Bellavista a Constitución,0.44,528.172658100399
70,70,70,0,* Portugal,Ciclovías Santiago 2015 - 2016,Calle / Norte a Sur - Sur a Norte/ Alameda a Matta,1.9,2281.06970557726
71,71,71,0,* Presidente Riesco / Parque Araucano,Ciclovías Santiago 2015 - 2016/* Presidente Riesco,Vereda / Ambos sentidos / Vespucio a Manquehue,1.81,2174.48334578109
72,72,72,0,* Príncipe de Gales,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Monseñor Edwards a Salvador Izquierdo,0.45,537.855324453117
