FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
21,Tenencia Juan Antonio Rios, ,PREFECTURA SANTIAGO NORTE,INDEPENDENCIA,CARABINEROS,SANTIAGO,21, ,TENENCIA
22,Subcomisaria Villamoderna, ,PREFECTURA SANTIAGO NORTE,INDEPENDENCIA,CARABINEROS,SANTIAGO,22, ,SUBCOMISARIA
23,30a. Comisaria Radio Patrulla., ,PREFECTURA SANTIAGO NORTE,INDEPENDENCIA,CARABINEROS,SANTIAGO,23, ,COMISARIA
24,21a. Comisaria Estacion Central, ,PREFECTURA SANTIAGO OCCIDENTE,ESTACION CENTRAL,CARABINEROS,SANTIAGO,24, ,COMISARIA
25,28a. Comisaria de Fuerzas Especiale, ,PREFECTURA CARABINEROS FUERZAS ESPECIALES,SANTIAGO,CARABINEROS,SANTIAGO,25, ,COMISARIA
26,29a. Comisaria de Fuerzas Especiale, ,PREFECTURA CARABINEROS FUERZAS ESPECIALES,SANTIAGO,CARABINEROS,SANTIAGO,26, ,COMISARIA
27,51a. Comisaria Montada de Fuerzas E, ,PREFECTURA CARABINEROS FUERZAS ESPECIALES,ESTACION CENTRAL,CARABINEROS,SANTIAGO,27, ,COMISARIA
28,34a. Comisaria de Menores (masculin, ,PREFECTURA DE CARABINEROS MENORES,SANTIAGO,CARABINEROS,SANTIAGO,28, ,COMISARIA
29,35a. Comisaria de Menores (femenina, ,PREFECTURA DE CARABINEROS MENORES,LA CISTERNA,CARABINEROS,SANTIAGO,29, ,COMISARIA
30,38a. Comisaria de Mujeres, ,PREFECTURA DE CARABINEROS MENORES,SANTIAGO,CARABINEROS,SANTIAGO,30, ,COMISARIA
31,48a. Comisaria Asuntos de la Famili, ,PREFECTURA DE CARABINEROS MENORES,SANTIAGO,CARABINEROS,SANTIAGO,31, ,COMISARIA
32,10a. Comisaria La Cisterna., ,PREFECTURA SANTIAGO SUR,LA CISTERNA,CARABINEROS,SANTIAGO,32, ,COMISARIA
