FID,nombre,direccion,comuna,tipo
128,CASA DE LA CULTURA DE SAN MIGUEL,3519 LLANO SUBERCASEAUX,SAN MIGUEL,CENTRO CULTURAL
129,CASA DE LA CULTURA MANUEL MAGALLANES MOURE,504 AMERICA,SAN BERNARDO,CENTRO CULTURAL
130,CASA DE LA CULTURA DE LA CISTERNA,375 BOMB ENCALADA,LA CISTERNA,CENTRO CULTURAL
131,CENTRO CULTURAL MUNICIPAL DE QUILICURA,281 LIBER BERNARDO OHIGGINS,QUILICURA,CENTRO CULTURAL
132,CASA DE LA CULTURA DE LA GRANJA,372 AMERICO VESPUCIO,LA GRANJA,CENTRO CULTURAL
133,CENTRO CULTURAL SONIA VIVEROS,6311 PJE SEIS,LA GRANJA,CENTRO CULTURAL
134,CENTRO CULTURAL MALAQUIAS CONCHA,582 COMBARBALA,LA GRANJA,CENTRO CULTURAL
135,MATUCANA 100,100 MATUCANA,ESTACION CENTRAL,CENTRO CULTURAL
136,CASONA NEMESIO ANTUNEZ,8580 LARRAIN,LA REINA,CENTRO CULTURAL
137,ESTACION MAPOCHO,PLAZA DE LA CULTURA S7N,SANTIAGO,CENTRO CULTURAL
138,PALACIO LA MONEDA,26 PLAZA DE LA CIUDADANIA,SANTIAGO,CENTRO CULTURAL
139,CENTRO CULTURAL LOS NOGALES,1785 SANTA TERESA,ESTACION CENTRAL,CENTRO CULTURAL
140,CASA DE LA CULTURA DE LA PINTANA,12975 SANTA ROSA,LA PINTANA,CENTRO CULTURAL
141,CENTRO CULTURAL SAN GREGORIO,897 SAN GREGORIO,LA GRANJA,CENTRO CULTURAL
142,CENTRO CULTURAL GABRIELA MISTRAL,323 PADRE ESTEBAN GUMUCIO,LA GRANJA,CENTRO CULTURAL
143,CENTRO CULTURAL MILLALEMU,805 TRICOLOR,LA GRANJA,CENTRO CULTURAL
144,CENTRO CULTURAL SANTA ANA,81 SANTA ANA,LA GRANJA,CENTRO CULTURAL
145,DEL PARQUE,5413 PDTE KENNEDY,LAS CONDES,TEATRO
